url,detected_tcg,Card Title,Card Number,Low Price,Trend Price,Avg 30d Price,Avg 7d Price,Avg 1d Price,First Price in filter
"https://www.cardmarket.com/fr/Pokemon/Products/Singles/Phantasmal-Flames/Mega-Charizard-X-ex-V1-PFL013","Pokemon","Mega Dracaufeu X ex  (PFL 013)","013","1282","","4,36 €","4,51 €","4,34 €","2,85 €"
"https://www.cardmarket.com/fr/Magic/Products/Singles/Commander-Tarkir-Dragonstorm/Command-Tower","Magic","Tour de commandement","107","0,15 €","0,41 €","0,40 €","0,39 €","0,40 €","0,15 €"
"https://www.cardmarket.com/en/YuGiOh/Products/Singles/Phantom-Revenge/Kewl-Tune-Cue-V1-Ultra-Rare","YuGiOh","Kewl Tune Cue (V.1 - Ultra Rare)","034","5,00 €","5,70 €","7,81 €","7,31 €","7,34 €","5,00 €"
"https://www.cardmarket.com/fr/OnePiece/Products/Singles/Special-Tournaments-Promos/Trafalgar-Law-ST03-008-V1","OnePiece","Trafalgar Law (ST03-008) (V.1)","ST03-008","600,00 €","1.400,00 €","1.450,00 €","1.450,00 €","1.400,00 €","600,00 €"
"https://www.cardmarket.com/fr/Lorcana/Products/Singles/Whispers-in-the-Well/Demona-Scourge-of-the-Wyvern-Clan-V1","Lorcana","Démona - Fléau du Clan de Wyvern (V.1)","055","23,00 €","25,54 €","26,64 €","26,28 €","26,62 €","23,00 €"
"https://www.cardmarket.com/fr/Riftbound/Products/Singles/Origins/Darius-Trifarian-V1-Rare","Riftbound","Darius, Trifarian (V.1 - Rare)","027","1,50 €","8,74 €","9,94 €","9,29 €","9,68 €","1,50 €"
"https://www.cardmarket.com/fr/FleshAndBlood/Products/Singles/Part-the-Mistveil/Double-Trouble-Red-Regular","FleshAndBlood","Double Trouble (Red) (Regular)","112","0,02 €","0,23 €","0,22 €","0,28 €","0,29 €","0,02 €"
"https://www.cardmarket.com/fr/StarWarsUnlimited/Products/Singles/Spark-of-Rebellion/Luke-Skywalker-Jedi-Knight","StarWarsUnlimited","Luke Skywalker, Chevalier Jedi","051","13,00 €","14,66 €","14,81 €","15,09 €","16,47 €","13,00 €"
"https://www.cardmarket.com/fr/Digimon/Products/Singles/Promos/Patamon-P-197","Digimon","Patamon (P-197)","197","8,79 €","8,21 €","9,58 €","12,05 €","","13,50 €"
"https://www.cardmarket.com/fr/DragonBallSuper/Products/Singles/Saiyans-Pride-Fusion-World/Son-Gohan-Adolescence-FB08-012-Fusion-World-V1-Super-Rare","DragonBallSuper","Son Gohan : Adolescence (FB08-012) [Fusion World] (V.1 - Super Rare)","012","1,00 €","1,58 €","1,33 €","1,40 €","2,76 €","1,00 €"
"https://www.cardmarket.com/fr/Vanguard/Products/Singles/Symphony-of-Might-Bloom/Wings-of-Lifebrook-Soel-D-Format-V1-Triple-Rare","Vanguard","Wings of Lifebrook, Soel [D-Format] (V.1 - Triple Rare)","012","2,00 €","4,52 €","3,67 €","3,67 €","6,45 €","2,00 €"
"https://www.cardmarket.com/fr/WeissSchwarz/Products/Singles/Frieren-Beyond-Journeys-End/Frieren-Dozing-Off","WeissSchwarz","Frieren Dozing Off","P02","0,07 €","3,18 €","1,00 €","1,00 €","","0,75 €"
"https://www.cardmarket.com/fr/FinalFantasy/Products/Singles/Journey-of-Discovery/Zoraal-Ja-27-085","FinalFantasy","Zoraal Ja (27-085)","085","4,27 €","5,06 €","4,67 €","4,00 €","","2,99 €"
"https://www.cardmarket.com/fr/FoW/Products/Singles/Descent-into-the-Ravens-Catacombs/Demons-Blood","FoW","Demon's Blood","Video-06","5,49 €","5,49 €","5,49 €","5,49 €","","4,49 €"
"https://www.cardmarket.com/fr/BattleSpiritsSaga/Products/Singles/Unnumbered-Promos/Supernova-Dragon-Siegwurm-Nova","BattleSpiritsSaga","Supernova Dragon Siegwurm Nova","BSS01-001","0,49 €","1,13 €","1,41 €","1,03 €","1,20 €","0,49 €"
"https://www.cardmarket.com/fr/WoW/Products/Singles/War-of-the-Ancients/Stormwind-Tabard","WoW","Stormwind Tabard","218","0,11 €","0,09 €","0,10 €","0,25 €","","0,02 €"
"https://www.cardmarket.com/fr/StarWarsDestiny/Products/Singles/Covert-Missions/Nar-Shaddaa-Thief","StarWarsDestiny","Nar Shaddaa Thief","129","0,36 €","0,35 €","0,29 €","0,25 €","","0,25 €"
"https://www.cardmarket.com/fr/Dragoborne/Products/Singles/Gears-of-Apocalypse/Mortal-Wound","Dragoborne","Mortal Wound","118","1,36 €","0,60 €","0,60 €","1,74 €","","0,50 €"
"https://www.cardmarket.com/fr/MyLittlePony/Products/Singles/Marks-in-Time/Discord-Dubious-Intent","MyLittlePony","Discord *Dubious Intent*","24","2,50 €","2,50 €","2,50 €","2,50 €","","2,99 €"
"https://www.cardmarket.com/fr/Spoils/Products/Singles/Ungodly-Mess/Direstock-Paratrooper","Spoils","Direstock Paratrooper","130","0,09 €","0,09 €","0,09 €","0,09 €","","0,09 €"
